iter	Passed	Remaining
818	1653	365
819	1655	363
820	1657	361
821	1659	359
822	1660	357
823	1662	355
824	1664	353
825	1665	350
826	1667	348
827	1669	346
828	1671	344
829	1672	342
830	1674	340
831	1676	338
832	1678	336
833	1679	334
834	1682	332
835	1683	330
836	1685	328
837	1687	326
838	1688	324
839	1690	321
840	1692	319
841	1694	317
842	1695	315
843	1697	313
844	1698	311
845	1700	309
846	1702	307
847	1703	305
848	1705	303
849	1706	301
850	1707	299
851	1709	297
852	1711	294
853	1713	292
854	1715	290
855	1717	288
856	1719	286
857	1721	284
858	1722	282
859	1724	280
860	1726	278
861	1727	276
862	1728	274
863	1730	272
864	1732	270
865	1734	268
866	1736	266
867	1738	264
868	1739	262
869	1741	260
870	1743	258
871	1745	256
872	1747	254
873	1749	252
874	1751	250
875	1752	248
876	1753	245
877	1755	243
878	1757	241
879	1758	239
880	1759	237
881	1761	235
882	1763	233
883	1764	231
884	1765	229
885	1767	227
886	1769	225
887	1770	223
888	1773	221
889	1774	219
890	1776	217
891	1779	215
892	1780	213
893	1782	211
894	1784	209
895	1786	207
896	1788	205
897	1790	203
898	1792	201
899	1793	199
900	1795	197
901	1796	195
902	1798	193
903	1800	191
904	1802	189
905	1803	187
906	1805	185
907	1807	183
908	1809	181
909	1810	179
910	1812	177
911	1813	175
912	1815	173
913	1817	171
914	1819	169
915	1821	167
916	1823	165
917	1824	162
918	1826	160
919	1828	158
920	1829	156
921	1831	154
922	1832	152
923	1834	150
924	1835	148
925	1837	146
926	1839	144
927	1841	142
928	1843	140
929	1844	138
930	1845	136
931	1847	134
932	1849	132
933	1850	130
934	1851	128
935	1853	126
936	1855	124
937	1856	122
938	1858	120
939	1860	118
940	1862	116
941	1864	114
942	1866	112
943	1868	110
944	1870	108
945	1871	106
946	1873	104
947	1875	102
948	1877	100
949	1879	98
950	1881	96
951	1882	94
952	1884	92
953	1886	90
954	1888	88
955	1890	86
956	1892	85
957	1894	83
958	1896	81
959	1898	79
960	1899	77
961	1901	75
962	1903	73
963	1905	71
964	1907	69
965	1909	67
966	1911	65
967	1912	63
968	1914	61
969	1916	59
970	1918	57
971	1920	55
972	1921	53
973	1923	51
974	1925	49
975	1927	47
976	1929	45
977	1931	43
978	1933	41
979	1935	39
980	1937	37
981	1938	35
982	1940	33
983	1942	31
984	1944	29
985	1945	27
986	1947	25
987	1949	23
988	1951	21
989	1953	19
990	1955	17
991	1957	15
992	1959	13
993	1961	11
994	1962	9
995	1964	7
996	1966	5
997	1967	3
998	1969	1
999	1972	0
